,name,apple_name,apple_rating_count,apple_rating,google_name,google_rating,google_rating_count
14,Target,Target,108131,3.0,Target - now with Cartwheel,4.1,68406
15,Allrecipes Dinner Spinner,Allrecipes Dinner Spinner,109349,3.5,Allrecipes Dinner Spinner,4.5,61881
16,AccuWeather,AccuWeather - Weather for Life,144214,3.5,AccuWeather: Daily Forecast & Live Weather Reports,4.4,2052407
17,Mint,"Mint: Personal Finance, Budget, Bills & Money",232940,4.0,"Mint: Budget, Bills, Finance",4.3,129305
18,ABC News,ABC News - US & World News + Live Video,48407,3.0,ABC News - US & World News,4.0,18976
19,Speedtest by Ookla,Speedtest by Ookla,65016,3.5,Speedtest by Ookla,4.4,1028794
20,Citi Mobile®,Citi Mobile®,48822,3.5,Citi Mobile®,4.0,78306
21,Tumblr,Tumblr,334293,4.0,Tumblr,4.4,2953886
22,HuffPost,"HuffPost - News, Politics & Entertainment",29107,3.0,HuffPost - News,4.2,78154
23,CBS Sports App,"CBS Sports App - Sports Scores, News, Stats, Watch",59639,3.0,"CBS Sports App - Scores, News, Stats & Watch Live",4.3,91035
24,DIRECTV,DIRECTV,81006,3.5,DIRECTV,4.1,235486
25,Doodle Jump,Doodle Jump,395261,4.5,Doodle Jump,4.3,1083571
26,Fandango Movies,Fandango Movies - Times + Tickets,291787,4.0,Fandango Movies - Times + Tickets,4.6,243747
27,myAT&T,myAT&T,108507,3.0,myAT&T,3.7,80816
28,Shutterfly,"Shutterfly: Prints, Photo Books, Cards Made Easy",51427,4.0,"Shutterfly: Free Prints, Photo Books, Cards, Gifts",4.6,98717
29,Indeed Job Search,Indeed Job Search,38681,4.0,Indeed Job Search,4.3,674730
30,WhatsApp Messenger,WhatsApp Messenger,287589,4.5,WhatsApp Messenger,4.4,69109672
31,Wells Fargo Mobile,Wells Fargo Mobile,43064,3.0,Wells Fargo Mobile,4.4,250719
32,AutoScout24,AutoScout24 - mobile used & new car market,220,4.5,AutoScout24 - used car finder,4.4,186648
33,USAA Mobile,USAA Mobile,19946,4.0,USAA Mobile,4.5,100997
34,TextNow,TextNow - Unlimited Text + Calls,164963,3.5,TextNow - free text + calls,4.4,441189
35,Best Buy,Best Buy,80424,4.0,Best Buy,4.4,186116
36,Sky News,Sky News,118,3.0,Sky News,4.0,30287
37,ESPN,"ESPN: Get scores, news, alerts & watch live sports",290996,3.5,ESPN,4.2,521081
38,NBC News,NBC News,32881,3.5,NBC News,4.1,63020
39,Grindr,"Grindr - Gay and same sex guys chat, meet and date",23201,2.5,Grindr - Gay chat,3.6,284795
40,Waze,"Waze - GPS Navigation, Maps & Real-time Traffic",345046,4.5,"Waze - GPS, Maps, Traffic Alerts & Live Navigation",4.6,7231017
41,Cartoon Wars,Cartoon Wars,35930,3.5,Cartoon Wars: Blade,4.4,165656
42,Epson iPrint,Epson iPrint,2838,3.0,Epson iPrint,4.1,108169
43,Mad Libs,Mad Libs,117889,3.0,Mad Libs,4.0,8126
44,Dropbox,Dropbox,49578,3.5,Dropbox,4.4,1860844
45,Yahoo Fantasy Sports,Yahoo Fantasy Sports,190670,3.5,Yahoo Fantasy Sports - #1 Rated Fantasy App,4.2,277939
46,Geocaching®,Geocaching®,12811,3.5,Geocaching®,4.1,62616
47,Starbucks,Starbucks,303856,4.5,Starbucks,4.5,455496
48,Alipay,Alipay - Makes Life Easy,1926,3.0,Alipay,3.4,42497
49,Twitter,Twitter,354058,3.5,Twitter,4.3,11657972
50,CBS News,CBS News - Watch Free Live Breaking News,11691,3.5,CBS News,4.3,23641
51,NBA,NBA,43682,3.5,NBA,4.4,108318
52,Harry Potter,Harry Potter: Spells,17023,4.0,Harry Potter: Hogwarts Mystery,4.4,1107197
53,Call of Duty,Call of Duty: Zombies,63943,4.0,Call of Duty:Black Ops Zombies,4.2,13004
54,Call of Duty,Call of Duty: Zombies HD,5853,3.5,Call of Duty:Black Ops Zombies,4.2,13004
55,Call of Duty,Call of Duty: Black Ops Zombies,116601,4.5,Call of Duty:Black Ops Zombies,4.2,13004
56,Walmart,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",70286,3.0,Walmart,4.4,441473
57,AirWatch Agent,AirWatch Agent,1150,2.5,AirWatch Agent,3.1,20973
58,Redbox,Redbox,60236,3.0,Redbox,4.1,115033
59,IMDb Movies & TV,IMDb Movies & TV - Trailers and Showtimes,183425,4.5,IMDb Movies & TV,4.2,501498
60,DB Navigator,DB Navigator,512,3.5,DB Navigator,4.0,119685
61,Grand Theft Auto,Grand Theft Auto: Chinatown Wars,15142,4.0,Grand Theft Auto: San Andreas,4.4,348962
62,Grand Theft Auto,Grand Theft Auto: Vice City,20113,4.0,Grand Theft Auto: San Andreas,4.4,348962
63,Grand Theft Auto,Grand Theft Auto: San Andreas,32533,4.0,Grand Theft Auto: San Andreas,4.4,348962
64,Grand Theft Auto,Grand Theft Auto: Liberty City Stories,1460,3.5,Grand Theft Auto: San Andreas,4.4,348962
65,Southwest Airlines,Southwest Airlines,30552,3.0,Southwest Airlines,3.9,24781
66,Star Chart,Star Chart,13482,4.5,Star Chart,4.3,128808
67,Pocket Yoga,Pocket Yoga,4475,4.5,Pocket Yoga,4.4,2107
68,Badoo,"Badoo - Meet New People, Chat, Socialize.",34428,4.5,Badoo - Free Chat & Dating App,4.3,3781467
69,The Washington Post Classic,The Washington Post Classic,18572,4.5,The Washington Post Classic,4.5,23158
70,F-Sim Space Shuttle,F-Sim Space Shuttle,6403,4.5,F-Sim Space Shuttle,4.4,5427
71,Groupon,"Groupon - Deals, Coupons & Discount Shopping App",417779,4.5,"Groupon - Shop Deals, Discounts & Coupons",4.6,1371082
72,Univision Deportes,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",16683,3.5,"Univision Deportes: Liga MX, MLS, Fútbol Live",4.2,75545
73,Univision Deportes,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",16683,3.5,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",4.2,75566
74,Kik,Kik,260965,4.0,Kik,4.3,2451136
75,Solitaire,Solitaire,679055,4.5,Solitaire: Decked Out Ad Free,4.9,37302
76,Amex Mobile,Amex Mobile,11421,4.0,Amex Mobile,4.3,24729
77,Fruit Ninja Classic,Fruit Ninja Classic,698516,4.5,Fruit Ninja Classic,4.3,85468
78,Netflix,Netflix,308844,3.5,Netflix,4.4,5453997
79,ABC,ABC – Watch Live TV & Stream Full Episodes,78890,3.0,ABC – Live TV & Full Episodes,3.3,50428
80,StubHub,"StubHub - Tickets to Sports, Concerts and Theatre",9011,3.5,"StubHub - Tickets to Sports, Concerts & Events",4.0,26089
81,Fox News,Fox News,132703,4.0,"Fox News – Breaking News, Live Video & News Alerts",4.5,249919
82,Uber,Uber,49466,3.0,Uber,4.2,4921866
83,WEB.DE Mail,WEB.DE Mail,168,4.0,WEB.DE Mail,4.3,226541
84,Chase Mobile,Chase Mobile,34322,4.5,Chase Mobile,4.6,1374549
85,Tango,"Tango - Free Video Call, Voice and Chat",75412,4.5,Tango - Live Video Broadcast,4.3,3806669
86,MeetMe,MeetMe - Chat and Meet New People,97072,4.0,MeetMe: Chat & Meet New People,4.2,1259723
87,TED,TED,5782,3.5,TED,4.6,181961
88,Carnivores,Carnivores: Dinosaur Hunter Pro,18306,4.0,Carnivores: Dinosaur Hunter,4.2,62636
89,Carnivores,Carnivores: Ice Age Pro,13258,4.5,Carnivores: Dinosaur Hunter,4.2,62636
90,Hulu,Hulu: Watch TV Shows & Stream the Latest Movies,56170,2.0,"Hulu: Stream TV, Movies & more",4.0,319777
91,Edmodo,Edmodo,7197,3.5,Edmodo,4.1,200214
92,Onefootball,Onefootball - Soccer Scores & Live News,3194,4.5,Onefootball - Soccer Scores,4.7,911995
93,Sam's Club,Sam's Club: Wholesale Shopping & Bulk Buy Deals,8149,4.0,Sam's Club: Wholesale Shopping & Instant Savings,4.3,45362
94,Viber Messenger,Viber Messenger – Text & Call,164249,4.5,Viber Messenger,4.3,11335481
95,Lotto Results,Lotto Results - Mega Millions Powerball Lottery,794,4.0,Lotto Results - Mega Millions Powerball Lottery US,4.5,14221
96,Muslim Pro,"Muslim Pro: Ramadan 2017 Prayer Times, Azan, Quran",18418,4.5,"Muslim Pro - Prayer Times, Azan, Quran & Qibla",4.7,1133393
97,Fly Delta,Fly Delta,8094,3.0,Fly Delta,3.7,27560
98,NFL,NFL,27317,2.5,NFL,4.1,459797
99,Instagram,Instagram,2161558,4.5,Instagram,4.5,66509917
100,Paprika Recipe Manager,Paprika Recipe Manager,1755,4.5,Paprika Recipe Manager,4.1,1268
101,GroupMe,GroupMe,28260,4.5,GroupMe,4.5,330761
102,Zappos,"Zappos: shop shoes & clothes, fast free shipping",103655,5.0,Zappos – Shoe shopping made simple,4.5,44588
103,myChevrolet,myChevrolet,1083,2.0,myChevrolet,3.5,6747
104,Text Free,Text Free: Free Texting + Calling + MMS,100477,4.0,Text Free: WiFi Calling App,4.2,83474
105,Airbnb,Airbnb,22302,4.0,Airbnb,4.4,359560
106,NBA JAM by EA SPORTS™,NBA JAM by EA SPORTS™,21648,4.0,NBA JAM by EA SPORTS™,4.3,56444
107,Fruit Ninja®,Fruit Ninja®,327025,4.5,Fruit Ninja®,4.3,5091448
108,Cartoon Network App,Cartoon Network App – Teen Titans Go! And more!,15984,3.0,Cartoon Network App,4.0,119173
109,Puffin Browser Pro,Puffin Browser Pro,7565,3.5,Puffin Browser Pro,4.0,18247
110,GasBuddy,GasBuddy,145549,4.5,GasBuddy: Find Cheap Gas,4.6,751551
111,HotelTonight,HotelTonight - Great Deals on Last Minute Hotels,32341,4.5,HotelTonight: Book amazing deals at great hotels,4.4,57556
112,The Guardian,The Guardian,8176,5.0,The Guardian,4.7,247992
113,Mad Skills Motocross,Mad Skills Motocross,9341,4.5,Mad Skills Motocross,4.0,32522
114,Microsoft OneNote,Microsoft OneNote,39638,4.5,Microsoft OneNote,4.4,480638
115,GolfNow,"GolfNow – Book Tee Times, Golf GPS, Scorecard",7535,4.0,"GolfNow: Tee Time Deals at Golf Courses, Golf GPS",4.5,26102
116,WeChat,WeChat,34584,4.5,WeChat,4.2,5387631
117,Google Translate,Google Translate,26786,3.5,Google Translate,4.4,5741684
118,Meitu,Meitu,6478,5.0,"Meitu – Beauty Cam, Easy Photo Editor",4.5,462702
119,GMX Mail,GMX Mail,102,4.5,GMX Mail,4.3,258556
120,Bleacher Report,"Bleacher Report: Sports news, scores, & highlights",16979,4.5,"Bleacher Report: sports news, scores, & highlights",4.4,122280
121,Temple Run,Temple Run,1724546,4.5,Temple Run,4.3,4000433
122,Temple Run,Temple Run: Brave,27593,4.0,Temple Run,4.3,4000433
123,Temple Run,Temple Run: Oz,14912,4.0,Temple Run,4.3,4000433
124,Angry Birds Rio,Angry Birds Rio,170843,4.5,Angry Birds Rio,4.4,2610328
125,My Horse,My Horse,293857,4.5,My Horse,4.5,1333338
126,MTV,MTV,5987,2.5,MTV,3.8,35279
127,Gmail,"Gmail - email by Google: secure, fast & organized",135962,4.0,Gmail,4.3,4604324
128,NCAA March Madness Live,NCAA March Madness Live - Men's College Basketball,13572,3.0,NCAA March Madness Live,4.1,34123
129,WatchESPN,WatchESPN,159735,4.0,WatchESPN,4.1,288809
130,Pinterest,Pinterest,1061624,4.5,Pinterest,4.6,4300936
131,iFunny ,iFunny :),98344,3.5,iFunny :),4.4,503757
132,HBO GO,HBO GO,26278,3.0,HBO GO: Stream with TV Package,3.8,87734
133,ROBLOX,ROBLOX,183621,4.5,ROBLOX,4.5,4443407
134,Nyan Cat,Nyan Cat: Lost In Space,76392,4.5,Nyan Cat: Lost In Space,4.5,371318
135,PBS KIDS Video,PBS KIDS Video,8651,3.5,PBS KIDS Video,4.2,36214
136,Domino's Pizza USA,Domino's Pizza USA,258624,5.0,Domino's Pizza USA,4.7,1032935
137,Snapseed,Snapseed,8683,4.0,Snapseed,4.5,823109
138,Camera360,"Camera360 - Selfie Filter Camera, Photo Editor",16729,4.5,Camera360: Selfie Photo Editor with Funny Sticker,4.3,4865132
139,LINE,LINE,11437,3.5,LINE: Free Calls & Messages,4.2,10790092
140,LINE,LINE: Disney Tsum Tsum,65155,4.5,LINE: Free Calls & Messages,4.2,10790092
141,ADP Mobile Solutions,ADP Mobile Solutions,8324,4.0,ADP Mobile Solutions,4.3,85185
142,LOVOO,LOVOO - Dating Chat,1985,4.5,LOVOO,4.0,852455
143,Snapchat,Snapchat,323905,2.5,Snapchat,4.0,17000166
144,Truecaller,Truecaller - Spam Identification & Block,27791,4.5,"Truecaller: Caller ID, SMS spam blocking & Dialer",4.5,7820775
145,Pic Collage,Pic Collage - Picture Editor & Photo Collage Maker,123433,5.0,Pic Collage - Photo Editor,4.6,1451000
146,Where's My Water?,Where's My Water?,131656,4.5,Where's My Water?,4.7,188740
147,United Airlines,United Airlines,5748,2.5,United Airlines,3.5,30447
148,ibis Paint X,ibis Paint X - speed painting,1933,4.5,ibis Paint X,4.6,224399
149,Messenger,Messenger,351466,3.0,Messenger – Text and Video Chat for Free,4.0,56642847
150,Messenger,Messenger,351466,3.0,Messenger,4.1,68025
151,Jetpack Joyride,Jetpack Joyride,405647,4.5,Jetpack Joyride,4.4,4637439
152,ASOS,ASOS,9725,5.0,ASOS,4.7,181823
153,Twitch,Twitch,109549,4.5,Twitch: Livestream Multiplayer Games & Esports,4.6,2133047
154,Trello,Trello,2793,4.5,Trello,4.5,72513
155,Fitbit,Fitbit,90496,4.0,Fitbit,3.9,357417
156,NHL,NHL,15554,3.5,NHL,4.0,68935
157,The Sims™ FreePlay,The Sims™ FreePlay,446880,4.5,The Sims™ FreePlay,4.3,931503
158,OfferUp,OfferUp - Buy. Sell. Simple.,57348,4.5,OfferUp - Buy. Sell. Offer Up,4.6,591312
159,Adobe Acrobat Reader,"Adobe Acrobat Reader: View, Create, & Convert PDFs",20069,4.0,Adobe Acrobat Reader,4.3,3014548
160,Riptide GP,Riptide GP,3883,4.0,Riptide GP: Renegade,4.7,4328
161,Riptide GP,Riptide GP: Renegade,412,4.5,Riptide GP: Renegade,4.7,4328
162,Khan Academy,Khan Academy: you can learn anything,5459,4.0,Khan Academy,4.6,85375
163,Bejeweled Blitz,Bejeweled Blitz,221002,4.0,Bejeweled Blitz,4.2,222664
164,Poshmark,Poshmark: Buy & Sell Fashion,18035,4.5,Poshmark - Buy & Sell Fashion,4.3,46153
165,YouNow,YouNow: Live Stream Video Chat,12079,3.5,YouNow: Live Stream Video Chat,4.1,309872
166,Puffin Web Browser,Puffin Web Browser,11677,4.0,Puffin Web Browser,4.3,541661
167,Kids A-Z,Kids A-Z,2887,3.5,Kids A-Z,4.2,26426
168,Etsy,"Etsy: Shop Handmade, Vintage & Creative Goods",30434,4.5,Etsy: Handmade & Vintage Goods,4.3,95520
169,Microsoft OneDrive,Microsoft OneDrive – File & photo cloud storage,12797,4.0,Microsoft OneDrive,4.4,1038303
170,NCAA Sports,NCAA Sports,636,2.0,NCAA Sports,3.9,4272
171,Minecraft,Minecraft: Pocket Edition,522012,4.5,Minecraft,4.5,2375336
172,Minecraft,Minecraft: Skin Studio,4006,4.0,Minecraft,4.5,2375336
173,Minecraft,Minecraft: Papercraft Studio,1044,4.5,Minecraft,4.5,2375336
174,Minecraft,Minecraft: Story Mode,20621,4.0,Minecraft,4.5,2375336
175,Bejeweled Classic,Bejeweled Classic,183259,4.5,Bejeweled Classic,4.4,203101
176,Cytus,Cytus,7925,5.0,Cytus,4.7,541732
177,Eventbrite,Eventbrite - Local Events & Fun Things To Do Near Me,2353,4.0,Eventbrite - Discover popular events & nearby fun,4.4,63773
178,Chick-fil-A,Chick-fil-A,5665,3.5,Chick-fil-A,4.3,27931
179,LEGO® Juniors Create & Cruise,LEGO® Juniors Create & Cruise,6152,4.0,LEGO® Juniors Create & Cruise,4.1,672089
180,The CW,The CW,97368,4.5,The CW,4.4,288209
181,Clear,"Clear – Tasks, Reminders & To-Do Lists",7521,4.0,Clear,3.1,24151
182,Headspace,Headspace,12819,5.0,Headspace: Meditation & Mindfulness,4.6,77563
183,Tom's Love Letters,Tom's Love Letters,27711,4.0,Tom's Love Letters,4.1,705805
184,The Simpsons™,The Simpsons™: Tapped Out,274501,4.0,The Simpsons™: Tapped Out,4.3,636995
185,Angry Birds Space HD,Angry Birds Space HD,39502,4.0,Angry Birds Space HD,4.5,43645
186,Regal Cinemas,Regal Cinemas,13257,4.5,Regal Cinemas,4.3,32732
187,Ski Safari,Ski Safari,45121,5.0,Ski Safari: Adventure Time,4.5,48754
188,Ski Safari,Ski Safari: Adventure Time - Stunt Skiing Endless Runner with Finn and BMO,3699,4.5,Ski Safari: Adventure Time,4.5,48754
189,USA TODAY,USA TODAY,61724,3.5,USA TODAY,4.1,49259
190,Battlefield™ Companion,Battlefield™ Companion,689,2.5,Battlefield™ Companion,4.0,263907
191,Freeform,Freeform – watch live TV & stream full episodes,18492,2.5,"Freeform – Stream Full Episodes, Movies, & Live TV",3.7,29229
192,Whisper,"Whisper - Share, Express, Meet",39819,4.0,Whisper,4.1,205803
193,Hay Day,Hay Day,567344,4.5,Hay Day,4.5,10053186
194,Google Drive,Google Drive - free online storage,59255,4.5,Google Drive,4.4,2728941
195,Bike Race,Bike Race - Top Motorcycle Racing Games,405007,4.5,Bike Race - Bike Blast Rush,4.4,83891
196,Subway Surfers,Subway Surfers,706110,4.5,Subway Surfers,4.5,27711703
197,Baldur's Gate,Baldur's Gate: Enhanced Edition,1454,4.0,Baldur's Gate: Enhanced Edition,4.5,20101
198,LINE Camera,"LINE Camera - Photo editor, Animated Stamp, Filter",3978,4.5,LINE Camera - Photo editor,4.3,1517395
199,SuperPhoto,SuperPhoto - Photo Effects & Filters,1952,4.5,SuperPhoto - Effects & Filters,4.1,43296
200,FreePrints,FreePrints – Photos Delivered,26060,5.0,FreePrints – Free Photos Delivered,4.8,109500
201,Credit Karma,"Credit Karma: Free Credit Scores, Reports & Alerts",101679,5.0,Credit Karma,4.7,706618
202,Remind,"Remind: Fast, Efficient School Messaging",9796,4.5,Remind: School Communication,4.5,108613
203,Fuel Rewards® program,Fuel Rewards® program,2249,4.5,Fuel Rewards® program,4.6,32433
204,Tom Loves Angela,Tom Loves Angela,1151,4.0,Tom Loves Angela,4.1,1111915
205,Flow Free,Flow Free,373857,4.5,Flow Free,4.3,1295293
206,Flow Free,Flow Free: Hexes,2791,5.0,Flow Free,4.3,1295293
207,Pixlr,"Pixlr - Photo Collages, Effects, Overlays, Filters",2099,4.0,Pixlr – Free Photo Editor,4.4,1163232
208,Storm Shield,Storm Shield,2516,4.5,Storm Shield,3.5,2000
209,Sworkit,Sworkit - Custom Workouts for Exercise & Fitness,16819,5.0,Sworkit: Workouts & Fitness Plans,4.6,109756
210,Photo Editor by Aviary,Photo Editor by Aviary,39501,4.5,Photo Editor by Aviary,4.4,1490722
211,Clash of Clans,Clash of Clans,2130805,4.5,Clash of Clans,4.6,44881447
212,Zombie Tsunami,Zombie Tsunami,31311,4.5,Zombie Tsunami,4.4,4918776
213,Wish,Wish - Shopping Made Fun,141960,4.5,Wish - Shopping Made Fun,4.5,6200739
214,MY LITTLE PONY,MY LITTLE PONY: Magic Princess Quests,65201,4.5,MY LITTLE PONY: Magic Princess,4.4,1309728
215,Bad Piggies,Bad Piggies,26259,4.5,Bad Piggies,4.3,1168959
216,Dr. Panda Hospital,Dr. Panda Hospital,372,4.0,Dr. Panda Hospital,4.4,1091
217,Hungry Shark Evolution,Hungry Shark Evolution,83784,4.5,Hungry Shark Evolution,4.5,6071542
218,Google Chrome,Google Chrome – The Fast and Secure Web Browser,55750,3.5,Google Chrome: Fast & Secure,4.3,9642112
219,UNO ™ & Friends,UNO ™ & Friends,68911,4.0,UNO ™ & Friends,4.1,1728557
220,Big Fish Casino,Big Fish Casino – Best Vegas Slot Machines & Games,113959,4.5,Big Fish Casino – Play Slots & Vegas Games,4.4,382100
221,We Heart It,"We Heart It - Fashion, wallpapers, quotes, tattoos",90414,5.0,We Heart It,4.5,637254
222,NBC Sports,NBC Sports,47172,2.5,NBC Sports,3.1,78442
223,YouTube,"YouTube - Watch Videos, Music, and Live Streams",278166,2.5,YouTube,4.3,25623548
224,Bad Piggies HD,Bad Piggies HD,19018,4.5,Bad Piggies HD,4.4,764967
225,Amazon Prime Video,Amazon Prime Video,43667,4.0,Amazon Prime Video,4.2,411683
226,Quizlet,"Quizlet: Study Flashcards, Languages & Vocabulary",16683,4.5,Quizlet: Learn Languages & Vocab with Flashcards,4.6,211856
227,Can Knockdown 3,Can Knockdown 3,1135,4.5,Can Knockdown 3,4.1,349503
228,Photo Editor-,Photo Editor-,9095,4.5,Photo Editor-,4.3,68071
229,Traffic Racer,Traffic Racer,22458,4.5,Traffic Racer,4.5,5387781
230,Tinder,Tinder,143040,3.5,Tinder,4.0,2789775
231,True Skate,True Skate,11065,4.0,True Skate,4.4,129409
232,STARZ,STARZ,8971,3.5,STARZ,4.3,88185
233,WWE,WWE,7553,4.0,WWE,4.5,736824
234,The Room,The Room,143908,5.0,The Room: Old Sins,4.9,21119
235,ClassDojo,ClassDojo,35440,4.5,ClassDojo,4.4,148536
236,NASCAR MOBILE,NASCAR MOBILE,16385,4.0,NASCAR MOBILE,4.2,80900
237,Candy Crush Saga,Candy Crush Saga,961794,4.5,Candy Crush Saga,4.4,22419455
238,Draw a Stickman,Draw a Stickman: EPIC,413,4.5,Draw a Stickman: EPIC 2 Free,4.3,213340
239,Draw a Stickman,Draw a Stickman: EPIC,413,4.5,Draw a Stickman: EPIC Free,4.2,210317
240,Draw a Stickman,Draw a Stickman: EPIC HD,895,4.5,Draw a Stickman: EPIC 2 Free,4.3,213340
241,Draw a Stickman,Draw a Stickman: EPIC HD,895,4.5,Draw a Stickman: EPIC Free,4.2,210317
242,Draw a Stickman,Draw a Stickman: EPIC 2,1410,4.5,Draw a Stickman: EPIC 2 Free,4.3,213340
243,Draw a Stickman,Draw a Stickman: EPIC 2,1410,4.5,Draw a Stickman: EPIC Free,4.2,210317
244,Angry Birds Friends,Angry Birds Friends,23655,4.0,Angry Birds Friends,4.2,829753
245,Real Racing 3,Real Racing 3,164483,4.5,Real Racing 3,4.5,354454
246,Angry Birds Star Wars,Angry Birds Star Wars,34138,4.5,Angry Birds Star Wars,4.3,1218055
247,Ibotta,"Ibotta: Cash Back App, Grocery Coupons & Shopping",44313,4.5,"Ibotta: Cash Back Savings, Rewards & Coupons App",4.5,315908
248,T-Mobile,T-Mobile,19977,4.0,T-Mobile,4.3,482630
249,Bloons TD 5,Bloons TD 5,42078,4.5,Bloons TD 5,4.6,190086
250,Hill Climb Racing,Hill Climb Racing,108183,4.5,Hill Climb Racing,4.4,8921451
251,Yoga Studio,Yoga Studio,28439,5.0,Yoga Studio: Mind & Body,4.3,5499
252,"sugar, sugar","sugar, sugar",139,4.5,"sugar, sugar",4.2,1405
253,Timehop,Timehop,49510,3.5,Timehop,4.1,161610
254,Duolingo,"Duolingo - Learn Spanish, French and more",162701,4.5,Duolingo: Learn Languages Free,4.7,6297590
255,LEGO Batman,LEGO Batman: DC Super Heroes,7717,4.0,LEGO Batman: DC Super Heroes,4.2,2557
256,FOX NOW,FOX NOW - Watch Full Episodes and Stream Live TV,39391,4.5,FOX NOW - On Demand & Live TV,3.9,60841
257,Gangstar Vegas,Gangstar Vegas,46705,4.5,Gangstar Vegas - mafia game,4.5,4830407
258,365Scores,365Scores,9879,4.5,365Scores - Live Scores,4.6,666246
259,Temple Run 2,Temple Run 2,295211,4.5,Temple Run 2,4.3,8116142
260,Afterlight,Afterlight,14057,4.5,Afterlight,4.3,50893
261,Pou,Pou,3783,4.5,Pou,4.3,10483141
262,Injustice,Injustice: Gods Among Us,612532,4.5,Injustice: Gods Among Us,4.4,2440877
263,Ingress,Ingress,2739,3.5,Ingress,4.3,391325
264,Lumosity,Lumosity - Brain Training,96534,4.5,Lumosity: #1 Brain Games & Cognitive Training App,4.2,215301
265,Checkout 51,Checkout 51: Grocery Coupons & Cash Back Savings,4878,4.0,Checkout 51: Grocery coupons,4.1,52896
266,Retrica,"Retrica - Selfie Camera with Filter, Sticker & GIF",11021,4.5,Retrica,4.3,6120977
267,Yahoo Mail,Yahoo Mail - Keeps You Organized!,113709,4.0,Yahoo Mail – Stay Organized,4.3,4188345
268,Threema,Threema,196,4.5,Threema,4.5,51110
269,MyScript Calculator,MyScript Calculator - Handwriting calculator,16555,4.5,MyScript Calculator,4.5,342336
270,SmartNews,SmartNews - Trending News & Stories,4645,4.0,SmartNews: Breaking News Headlines,4.2,233305
271,Sonic Dash,Sonic Dash,418033,4.5,Sonic Dash,4.5,3777822
272,SeatGeek,"SeatGeek – Tickets to Sports, Concerts & Broadway",6088,4.5,"SeatGeek – Tickets to Sports, Concerts, Broadway",4.4,15558
273,ABCmouse.com,ABCmouse.com - Early Learning Academy,18749,4.5,ABCmouse.com,4.3,50887
274,Microsoft Word,Microsoft Word,47999,4.5,Microsoft Word,4.5,2078744
275,Microsoft PowerPoint,Microsoft PowerPoint,10939,4.0,Microsoft PowerPoint,4.5,618796
276,Microsoft Excel,Microsoft Excel,24430,4.5,Microsoft Excel,4.5,1079616
277,PicsArt Photo Studio,PicsArt Photo Studio: Collage Maker & Pic Editor,29078,4.5,PicsArt Photo Studio: Collage Maker & Pic Editor,4.5,7590099
278,The Walking Dead,The Walking Dead: Dead Yourself,2369,4.5,The Walking Dead: Road to Survival,4.2,522466
279,The Walking Dead,The Walking Dead: Dead Yourself,2369,4.5,The Walking Dead: Our World,4.0,22435
280,The Walking Dead,The Walking Dead: Road to Survival - Strategy Game,16116,4.5,The Walking Dead: Road to Survival,4.2,522466
281,The Walking Dead,The Walking Dead: Road to Survival - Strategy Game,16116,4.5,The Walking Dead: Our World,4.0,22435
282,The Walking Dead,The Walking Dead: No Man's Land,21016,4.5,The Walking Dead: Road to Survival,4.2,522466
283,The Walking Dead,The Walking Dead: No Man's Land,21016,4.5,The Walking Dead: Our World,4.0,22435
284,The Walking Dead,The Walking Dead: Michonne - A Telltale Miniseries,303,3.0,The Walking Dead: Road to Survival,4.2,522466
285,The Walking Dead,The Walking Dead: Michonne - A Telltale Miniseries,303,3.0,The Walking Dead: Our World,4.0,22435
286,The Walking Dead,The Walking Dead: A New Frontier,721,4.0,The Walking Dead: Road to Survival,4.2,522466
287,The Walking Dead,The Walking Dead: A New Frontier,721,4.0,The Walking Dead: Our World,4.0,22435
288,VSCO,VSCO,11174,3.5,VSCO,4.4,753115
289,H&M,H&M,687,3.0,H&M,3.7,41917
290,Nick,Nick,13237,3.5,Nick,4.2,123309
291,Real Basketball,Real Basketball,198050,4.5,Real Basketball,4.5,1605267
292,Plants vs. Zombies™ 2,Plants vs. Zombies™ 2,267394,4.5,Plants vs. Zombies™ 2,4.4,567632
293,FanDuel,"FanDuel - Daily Fantasy Baseball, Golf & Sports",8014,4.5,FanDuel: Daily Fantasy Sports,4.6,29673
294,Smash Hit,Smash Hit,126233,4.5,Smash Hit,4.5,4147718
295,Facetune,Facetune,7643,4.5,Facetune - For Free,4.4,49553
296,Farm Heroes Saga,Farm Heroes Saga,187579,4.5,Farm Heroes Saga,4.4,7615646
297,Dr. Panda Supermarket,Dr. Panda Supermarket,342,4.0,Dr. Panda Supermarket,4.2,1357
298,FINAL FANTASY V,FINAL FANTASY V,1808,4.5,FINAL FANTASY V,4.5,15924
299,Asphalt 8,Asphalt 8: Airborne,188568,4.5,Asphalt 8: Airborne,4.5,8389714
300,PlayKids,PlayKids - Educational Cartoons and Games for Kids,2196,4.0,PlayKids - Educational cartoons and games for kids,4.1,182173
301,Eyes,Eyes - the horror game,567,4.5,Eyes - The Scary Horror Game Adventure,4.4,499483
